n,tape,led,width,width_error,height,height_error
2.0,0.225,14.6,104.9478558840996,5.17604549581714,104.77138219651422,5.2325104934803415
2.0,0.25,8.6,201.44354466262027,6.12351004717296,202.48721327749283,6.376146711209237
2.0,0.25,10.6,166.08558957705063,6.14443967711866,166.36376099919482,6.121433586279754
2.0,0.25,12.6,136.79101821314092,5.619468329420606,136.90680110144913,5.8190305631469625
2.0,0.25,14.6,109.13765612697412,5.3855182172733205,109.03137615639353,5.570004943599187
2.0,0.275,10.6,185.45100927253188,6.247422409112038,185.5164496786769,6.12838693293446
2.0,0.275,12.6,156.28279054213903,5.594238123244766,156.01330034995462,5.654668524649518
2.0,0.275,14.6,132.19191251071175,5.613858862166673,131.52847651443764,5.853787845470508
2.0,0.3,8.6,251.93324394790815,7.101538633636744,254.57762098453688,6.810896712725511
2.0,0.3,10.6,211.25347096286143,6.301064699151747,210.24880709050296,6.948919600424851
2.0,0.3,12.6,171.5577821440649,6.161889761786734,172.2207200826627,6.164606278012862
2.0,0.3,14.6,150.24448030795182,5.6415315890863855,149.62846855573568,5.849017725950115
